date,kurs_close,kurs_change_pct,positive_count,negative_count,net_sentiment,avg_pos_prob,avg_neg_prob,total_news,change_pct_BTC_USD,change_pct_GLD,change_pct_SIF,close_BTC_USD,close_GLD,close_SIF,volatility_BTC_USD,volatility_GLD,volatility_SIF
2026-05-25,1.16423,0.1816,1.0,0.0,0.0,0.6295181809,0.3704818191,0.0,0.3882,0.0,0.0,77279.9297,0.0,0.0,0.012625,0.0,0.0
2026-05-26,1.16374,-0.0419,0.0,0.0,0.0,0.0,0.0,0.0,-1.8817,0.0435,0.5429,75825.7344,414.0,76.305,0.031333,0.010826,0.018579
2026-05-27,1.16368,-0.0047,2.0,3.0,0.0,0.5193588796,0.4806411204,0.0,-1.9532,-1.3309,-2.2358,74344.7031,408.49,74.599,0.024765,0.011957,0.005635
2026-05-28,1.16179,-0.1627,0.0,0.0,0.0,0.0,0.0,0.0,-1.087,1.0478,1.4022,73536.5547,412.77,75.645,0.026454,0.022277,0.054022
2026-05-29,1.16528,0.3006,0.0,2.0,0.0,0.3371534985,0.6628465015,0.0,-0.2231,1.0539,-0.0383,73372.5234,417.12,75.616,0.024246,0.016329,0.006623
2026-06-01,1.16489,-0.0338,2.0,1.0,0.0,0.4173788933,0.5826211067,0.0,-3.0714,-1.4049,-0.8054,71319.7734,411.26,75.007,0.045802,0.010477,0.016795
2026-06-02,1.16355,-0.1152,2.0,0.0,0.0,0.8184711027,0.1815288973,0.0,-6.4724,0.1678,0.4053,66703.6563,411.95,75.311,0.073019,0.008024,0.009519
2026-06-03,1.16221,-0.1151,0.0,2.0,0.0,0.236463827,0.763536173,0.0,-4.0317,-0.9904,-2.4366,64014.3672,407.87,73.476,0.050871,0.007647,0.003532
2026-06-04,1.16094,-0.1091,0.0,0.0,0.0,0.0,0.0,0.0,-0.3324,0.8336,0.4124,63801.5742,411.27,73.779,0.051999,0.013141,0.015107
2026-06-05,1.16126,0.0279,3.0,0.0,0.0,0.7718283726,0.2281716274,0.0,-4.5123,-3.6545,-6.5547,60922.668,396.24,68.943,0.075117,0.021397,0.0553
